source<Long>,target<Long>,weight<Double>
0,153,0.65
0,449,0.43
0,998,1
1,45,0.71
1,106,0.52
1,189,0.44
1,233,0.66
1,345,0.59
1,656,0.6
1,715,0.13
1,737,0.76
2,35,0.59
2,92,0.14
2,99,0.93
2,164,0.01
2,174,0.01
2,197,0.15
2,209,0.16
2,267,0.7
2,313,0.93
2,326,0.6
2,404,0.73
2,433,0.9
2,599,0.59
2,703,0.45
2,870,0.33
3,10,0.32
3,60,0.43
3,113,0.93
3,453,0.49
3,458,0.47
3,479,0.42
3,662,0.8
3,740,0.66
3,798,0.2
3,859,0.21
3,939,0.82
4,210,0.39
4,563,0.15
4,593,0.02
4,653,0.69
4,725,0.57
5,261,0.06
5,940,0.85
6,5,0.79
6,10,0.7
6,50,0.74
6,81,0.9
6,88,0.78
6,123,0.65
6,125,0.19
6,128,0.53
6,194,0.05
6,315,0.71
6,404,0.89
6,412,0.58
6,421,0.18
6,425,0.87
6,556,0.78
6,700,0.55
6,720,0.29
6,865,0.09
6,879,0.66
6,962,0.69
6,978,0.99
7,13,0.19
7,194,0.28
7,250,0.45
7,266,0.42
7,467,0.13
7,637,0.78
7,721,0.76
7,818,0.26
7,919,0.51
7,999,0.06
8,205,0.77
8,296,0.87
8,309,0.29
8,902,0.26
8,1004,0.08
9,157,0.41
9,270,0.32
9,277,0.31
9,328,0.05
9,481,0.98
9,841,0.26
9,938,0.58
9,1001,0.94
10,6,0.27
10,28,0.76
10,38,0.88
10,94,0.4
10,159,0.08
10,245,0.94
10,262,0.77
10,302,0.16
10,360,0.65
10,366,0.24
10,390,0.2
10,424,0.05
10,566,0.75
10,569,0.91
10,586,0.96
10,814,0.33
10,842,0.76
10,907,0.58
10,947,0.68
10,984,0.69
10,989,0.6
10,1018,0.07
11,99,0.19
11,230,0.97
11,333,0.43
11,438,0.31
11,443,0.82
11,599,0.5
11,628,0.76
11,712,0.48
11,771,0.72
11,885,0.11
11,949,0.11
12,143,0.2
12,179,0.84
12,182,0.38
12,701,0.5
12,902,0.67
12,909,0.55
12,916,0.6
12,928,0.5
13,5,0.18
13,149,0.47
13,323,0.22
13,659,0.1
13,949,0.86
13,1006,0.88
14,50,0.93
14,119,0.17
14,169,0.83
14,194,0.36
14,220,0.06
14,248,0.2
14,333,0.47
14,375,0.53
14,413,0.46
14,586,0.91
14,656,0.56
14,693,0.28
14,822,0.16
14,832,0.73
14,858,0.9
14,981,0.78
15,139,0.12
15,319,0.02
15,674,0.95
15,913,0.85
15,921,0.49
15,949,0.72
16,205,0.14
16,928,0.68
16,944,0.06
16,976,0.23
17,178,0.03
17,189,0.56
17,195,0.24
17,236,0.99
17,281,0.79
17,299,0.24
17,316,0.16
17,370,0.81
17,380,0.22
17,410,0.11
17,595,0.48
17,610,0.7
17,680,0.35
17,705,0.15
17,766,0.89
17,826,0.29
17,829,0.2
17,839,0.98
17,882,0.82
17,885,0.98
17,953,0.84
17,966,0.15
